id,label,name,description,source,page,category
ELIG-CL02,Eligibility,父,"対象児童を監護し生計を同じくする父。要件は「監護＋生計同一」",manual,2,受給資格者類型
ELIG-CL03,Eligibility,養育者,"母又は父を除き児童を養育する者。要件は「同居＋監護＋生計維持」",manual,2,受給資格者類型
ELIG-CH01,Eligibility,児童年齢要件（18歳年度末）,"18歳に達する日以後の最初の3月31日までにある者",manual,3,児童要件
ELIG-CH02,Eligibility,児童年齢要件（20歳未満障害）,"20歳未満で障害の状態にある者（政令別表第1に定める程度）",manual,3,児童要件
ELIG-CHEX01,Eligibility,児童の婚姻による対象外,"児童が婚姻している場合（事実婚を含む）は対象外",manual,3,児童要件
ELIG-SP01,Eligibility,孤児,"父母がともに死亡・生死不明・拘禁等の児童。一部支給停止を行わず、全部停止の所得限度額は扶養義務者に係るものと同様とする特例",manual,3-4,特殊養育者類型
ELIG-SP02,Eligibility,未成年父母の未婚出生児童の祖父母監護,"未成年の父母が未婚出生し実家等に居住し、監護の程度が祖父母の方が大きい場合、祖父母が養育者として受給資格者となりうる",manual,3,特殊養育者類型
ELIG-REQ01,Eligibility,監護要件,"受給資格者類型ごとに求められる「監護」の充足要件（母・父に共通）",manual,2,要件グループ
ELIG-REQ02,Eligibility,生計維持要件,"養育者に求められる「生計維持」の充足要件",manual,2,要件グループ
ELIG-REQ03,Eligibility,婚姻要件,"事実婚状態にないこと等、婚姻に関する要件",manual,2,要件グループ
ELIG-REQ04,Eligibility,居住要件,"母・父・養育者及び児童が日本国内に住所を有すること",manual,2,要件グループ
ELIG-RIGHT01,Eligibility,受給権,"市長の認定によって初めて発生する、手当を受ける権利",manual,5,受給権
ELIG-RES01,Eligibility,居住実態要件,"住民票上の住所と現実の居所が異なる場合、原則住民票を居所に移すよう指導し、やむを得ない場合は現実の住所地の市町村で申請を受理できる",manual,6,要件グループ
ELIG-MULTI01,Eligibility,養育者の優先順位,"受給資格者の優先順位は「母＞父＞養育者」。養育者が複数いる場合は最も多くの費用を負担している者が受給資格者となる",manual,2,要件グループ
ELIG-FOREIGN01,Eligibility,外国人に係る認定請求,"外国人の認定請求では戸籍謄本に代え、申立書・出生証明等ひとり親である事実を証明する書類により事実確認を行う",manual,28,要件グループ
CON-01,Concept,監護,"監督し、保護すること。親権の有無を問わず、同居を要件としない",manual,5,用語解説
CON-02,Concept,生計維持,"児童の生計費の大半を支出していること。仕送りや生活保護金品も可",manual,6,用語解説
CON-03,Concept,生計同一,"両者の生活に一体性があること（消費生活上の家計が同一であること）",manual,6,用語解説
CON-04,Concept,養育,"同居し、監護かつ生計維持すること。別居監護は原則認められない",manual,6,用語解説
CON-05,Concept,事実婚,"婚姻の届出をしていないが、事実上婚姻関係と同様の事情にあること",manual,7,用語解説
CON-06,Concept,扶養義務者,"民法第877条第1項に定める直系血族及び兄弟姉妹のうち、受給者と生計同一の場合に所得判定対象となる者",manual,6,用語解説
CON-07,Concept,懐胎,"妊娠すること。懐胎日は出産予定日のおよそ38週前とする",manual,7,用語解説
CON-08,Concept,父母の配偶者,"児童の義父（母の夫）又は義母（父の妻）。事実婚状態を含む",manual,7,用語解説
CON-09,Concept,養子縁組,"戸籍上に養親とともに実親が併記され、実親との法律上の関係が残る縁組形式",manual,8,用語解説
CON-10,Concept,特別養子縁組,"実親との法的な親子関係を解消し、実の子と同じ親子関係を結ぶ制度",manual,8,用語解説
CON-11,Concept,里親,"養育里親・養子縁組里親等。里親に委託された児童の生活費は公費保障のため手当は支給されない",manual,8,用語解説
CON-12,Concept,生死不明,"危難後3か月以上又はそれ以外の場合1年以上生死が明らかでない状態",manual,8,用語解説
CON-13,Concept,遺棄,"父又は母が児童と同居せず扶養義務・監護義務を全く放棄している状態が1年以上継続すること",manual,8,用語解説
CON-14,Concept,住所,"生活の本拠。通常、住民基本台帳法による住民登録により公証される場所",manual,6,用語解説
CON-15,Concept,孤児等の範囲,"父母双方が死亡・生死不明・拘禁等に該当し監護できる状態にない児童の類型",manual,3-4,用語解説
INC-01,Income,給与所得,"地方税法に定める所得のうち、給与収入から給与所得控除額を減じた額",manual,65,所得
INC-02,Income,事業所得,"地方税法に定める所得のうち、事業による総所得金額に含まれる所得",manual,65,所得
INC-03,Income,養育費,"前年に受け取った養育費の額の8割を所得に算入する（取得費用相当分として2割を控除）",manual,9,所得
INC-04,Income,所得算定額,"地方税法に定める所得に養育費算入額を加え、各種控除を差し引いて算定される、支給区分判定の基礎となる額",manual,65,所得
INC-05,Income,所得制限,"受給資格者・配偶者・扶養義務者の所得が所得制限限度額表の区分以上であるときに行われる支給制限",manual,65,所得制限
INC-06,Income,全部支給所得制限額（受給資格者）,"扶養人数に応じた、全部支給となる受給資格者の所得上限額",manual,65,限度額
INC-07,Income,一部支給所得制限額（受給資格者）,"扶養人数に応じた、一部支給となる受給資格者の所得上限額（これ以上で全部停止）",manual,65,限度額
INC-08,Income,配偶者・扶養義務者所得制限額,"配偶者又は扶養義務者の所得がこの額以上のとき全部停止となる限度額",manual,65,限度額
INC-09,Income,孤児等養育者所得制限額,"孤児等の養育者に適用される所得制限限度額（扶養義務者に係るものと同様）",manual,65,限度額
INC-10,Income,社会保険料相当額控除,"法第4条第1項による控除。8万円",manual,65,控除
INC-11,Income,給与所得・年金所得控除,"最大10万円の控除（令和3年度所得〜）",manual,65,控除
INC-12,Income,障害者控除,"27万円（特別障害者は40万円）の控除",manual,65,控除
INC-13,Income,勤労学生控除,"27万円の控除",manual,65,控除
INC-14,Income,寡婦控除,"27万円の控除。母（父）本人の場合は適用なし",manual,65,控除
INC-15,Income,ひとり親控除,"35万円の控除。母（父）本人の場合は適用なし",manual,65,控除
INC-16,Income,譲渡所得の特別控除,"公共事業等のための土地建物売却等に応じた特別控除（最大5000万円）",manual,66,控除
INC-17,Income,限度額の加算,"老人扶養親族・特定扶養親族等に応じた所得制限限度額への加算",manual,65,限度額
INC-18,Income,生計維持児童（法第9条）,"所得税法上の扶養親族でない児童を、前年12月31日時点で生計維持していた場合に扶養人数に算入できる制度",manual,67,所得
INC-19,Income,生計別,"同居していても生計を異にする事実が客観的に証明できる場合、扶養義務者の所得判定から除外される取扱い",manual,68,所得
INC-20,Income,非課税障害基礎年金等の所得加算,"障害基礎年金等を受給する受給資格者について、非課税の公的年金給付等を公的年金等控除等を適用して総所得金額に加算する取扱い",manual,66,所得
INC-21,Income,養育費算入対象の判定基準,"離婚・別居後に対象児童の父又は母から支払われた金銭等で、養育に関係する経費に該当するものを養育費として算入する基準",manual,9-10,所得
INC-22,Income,扶養義務者の所得加算,"老人扶養親族1人につき配偶者・扶養義務者の限度額に6万円を加算する取扱い",manual,65,限度額
BEN-01,Benefit,全部支給,"受給資格者所得が全部支給所得制限額未満のときの支給区分",manual,65,支給区分
BEN-02,Benefit,一部支給,"受給資格者所得が全部支給以上一部支給所得制限額未満のときの支給区分",manual,65,支給区分
BEN-03,Benefit,全部停止,"受給資格者又は配偶者・扶養義務者の所得が一部支給所得制限額以上のときの支給区分",manual,65,支給区分
BEN-04,Benefit,手当額,"所得額等に応じて決定される支給月額（円単位の算定はGraphRAG対象外）",manual,1,手当額
BEN-05,Benefit,年金併給調整（差額支給）,"児童扶養手当額が公的年金額を上回るとき、その差額分を支給する調整",manual,71,年金併給
BEN-06,Benefit,一部支給停止適用除外（5年経過半額停止）,"支給開始から5年等経過し就業意欲がみられない場合に手当額の2分の1を支給しない措置。適用除外事由に該当する場合は除く",manual,54,支給停止
BEN-07,Benefit,災害特例（所得制限解除）,"所有財産の2分の1以上の損害を受けた場合に受給者本人の所得制限を解除する特例",manual,70,所得制限
BEN-08,Benefit,支払調整（内払調整）,"過支給分を次期以降の手当の内払とみなし、支払額を減額調整する取扱い",manual,100,支給停止
BEN-09,Benefit,債権（返還金）,"過支給分について返還通知が到達した時点で確定する債権",manual,98,返還
BEN-10,Benefit,履行延期（分割納付）,"債務者が無資力等の場合に認められる返還金の分割納付措置",manual,98,返還
BEN-11,Benefit,一部支給停止適用除外事由,"就業している等、5年経過による半額支給停止の適用を除外する事由",manual,54,支給停止
DEC-01,Decision,認定,"支給要件を満たし受給権が発生する決定",manual,5,判定
DEC-02,Decision,却下,"受給資格者要件・積極的要件・消極的要件・児童年齢要件の不充足による申請の却下",manual,13-14,判定
DEC-03,Decision,全部停止決定,"所得超過又は年金額が手当額以上であることによる全部停止の決定",manual,65,判定
DEC-04,Decision,差止,"正当な理由なく届出・書類提出をしないことによる手当支払の一時差止決定",manual,97,判定
DEC-05,Decision,差止解除,"届出・書類提出により差止事由が解消したことによる支払再開決定",manual,97,判定
DEC-06,Decision,資格喪失（時効）,"現況届未提出のまま2年間の時効が完成したことによる職権喪失決定",manual,95,判定
DEC-07,Decision,支給停止（法第14条）,"法第29条命令違反・虚偽申請による手当の全部又は一部不支給決定",manual,101,判定
DEC-08,Decision,支払調整決定,"過支給分を次期以降の手当から内払調整する決定",manual,100,判定
DEC-09,Decision,債権確定（返還決定）,"過支給分について返還通知到達により債権として確定する決定",manual,98,判定
DEC-10,Decision,資格喪失（消極的要件該当）,"施設入所・生計同一化・婚姻等、消極的要件に該当するに至ったことによる資格喪失決定",manual,40-48,判定
EVT-01,Event,認定,"受給権が発生した事実",manual,5,イベント
EVT-02,Event,資格喪失,"受給資格が失われた事実（時効・消極的要件該当等の事由を問わない）",manual,37,イベント
EVT-03,Event,差止,"手当の支払が一時差し止められた事実",manual,97,イベント
EVT-04,Event,差止解除,"差止が解除され支払が再開された事実",manual,97,イベント
EVT-05,Event,額改定,"児童数・所得状況等の変動により手当額が改定された事実",manual,33,イベント
EVT-06,Event,所得変更,"受給資格者又は扶養義務者の所得に変更が生じた事実",manual,65,イベント
EVT-07,Event,年金開始,"受給資格者又は児童が公的年金等の受給を開始した事実",manual,71,イベント
EVT-08,Event,年金終了,"受給資格者又は児童が公的年金等の受給を終了した事実",manual,71,イベント
EVT-09,Event,債権発生,"過支給分について返還請求権（債権）が確定した事実",manual,98,イベント
EVT-10,Event,返還,"確定した債権について受給者が返還を行った事実",manual,98,イベント
RULE-BC01,Rule,全部支給判定ルール,"受給資格者所得が全部支給限度額未満のとき全部支給とするルール",manual,65,支給区分ルール
RULE-BC02,Rule,一部支給判定ルール,"受給資格者所得が全部支給限度額以上一部支給限度額未満のとき一部支給とするルール",manual,65,支給区分ルール
RULE-BC03,Rule,全部停止判定ルール（所得超過）,"受給資格者所得が一部支給限度額以上のとき全部停止とするルール",manual,65,支給区分ルール
RULE-BC04,Rule,全部停止判定ルール（扶養義務者等所得超過）,"配偶者又は扶養義務者の所得が限度額以上のとき全部停止とするルール",manual,65,支給区分ルール
RULE-BC05,Rule,一部支給停止適用除外ルール,"5年経過後、適用除外事由に該当しない場合2分の1支給停止とするルール",manual,54,支給停止ルール
RULE-BC06,Rule,災害特例ルール,"所有財産の1/2以上の損害を受けた場合に所得制限を解除するルール",manual,70,所得制限ルール
RULE-PENSION,Rule,年金併給調整ルール,"児童扶養手当額と年金額を比較し、差額支給又は全部停止を判定するルール",manual,71,年金併給ルール
RULE-EV01,Rule,支払・時効ルール,"支払開始・終了時期及び2年の時効消滅を定めるルール",manual,94,支払ルール
RULE-EV02,Rule,現況届2年未提出資格喪失ルール,"現況届未提出のまま支払期日から2年経過した場合、時効により職権で資格喪失させるルール",manual,95,喪失ルール
RULE-EV03,Rule,差止ルール,"届出義務違反・書類不提出の場合に手当支払を差し止めるルール",manual,97,差止ルール
RULE-EV04,Rule,債権返還ルール,"過支給分について返還通知到達時に債権を確定させ、5年の時効を適用するルール",manual,98,返還ルール
RULE-EV05,Rule,支払調整ルール,"支給継続中の過支給分を次期支払から内払調整するルール",manual,100,支払調整ルール
RULE-EV06,Rule,適正受給ルール（法第14条）,"命令違反・虚偽申請の場合に手当の全部又は一部を不支給とするルール",manual,101,適正受給ルール
RULE-ELIG01,Rule,支給要件判定ルール,"受給資格者類型要件・積極的要件・消極的要件・児童年齢要件を総合判定し、認定又は却下を決定するルール",manual,2-5,支給要件ルール
RULE-ELIG02,Rule,消極的要件該当資格喪失ルール,"認定後に消極的要件（施設入所・生計同一化・婚姻等）のいずれかに該当するに至った場合、資格喪失とするルール",manual,40-48,喪失ルール
